,url,paragraph_index,paragraph_text
13,https://www.eznetsoft.com/index.php/about-us/privacy-policy,13.0,"We are committed to protecting our users’ personal data. We implement appropriate technical and organizational measures to help protect the security of your personal data; however, please note that no system is ever completely secure. We have implemented various policies including pseudonymization, encryption, access, and retention policies to guard against unauthorized access and unnecessary retention of personal data in our systems."
14,https://www.eznetsoft.com/index.php/about-us/privacy-policy,14.0,"Your password protects your user account, so we encourage you to use a strong password that is unique to your account, never share your password with anyone, limit access to your computer and browser, and log out after having used our service."
15,https://www.eznetsoft.com/index.php/about-us/privacy-policy,15.0,How can I Manage or Delete my information?
16,https://www.eznetsoft.com/index.php/about-us/privacy-policy,16.0,"Our Apps store information locally on your device, and some information we store based on your login on our servers are deleted once you Delete your account. To delete information stored by our Apps. You can Request to Delete your information by sending a request to Support @ Eznetsoft.com. Please specify sufficient information for us to identify you and we will delete any related information from our System. We will NOT RETAIN ANY Information from you when send this request.  If you use our Apps, After you have requested deletion of your data, You also MUST Delete the App from your device to make sure all data stored by our App on your device are also deleted.  If you visited our website, there may be cookies stored on your web browser, you can use your browser Settings to delete those cookies. We are not responsible to delete cookies stored on your own browser. You can use the Privacy settings on your browser to prevent cookies from being stored when you visit our website."
17,https://www.eznetsoft.com/index.php/about-us/privacy-policy,17.0,Kind Information that may be collected:
18,https://www.eznetsoft.com/index.php/about-us/privacy-policy,18.0,"When you visit our Website, and the information below is true for most websites. We may collect the following information:IP addresses are used by your computer every time you are connected to the Internet. Your IP address is a number that is used by computers on the network to identify your computer so that data (such as the Web pages you request) can be sent to you. They are automatically gathered by our Web server. Samuel J or Eznetsoft will not use your IP address to attempt to identify your personal information."
19,https://www.eznetsoft.com/index.php/about-us/privacy-policy,19.0,"System information we gather includes time, type of Web browser being used, the operating system/platform, and CPU speed. This information is sent automatically by your Web browser when you are connected to a Web Site and is used by Samuel J or Eznetsoft only for broad demographic statistics. This information is used by Samuel J or Eznetsoft in identifying broad demographic trends and may be used to provide information appropriate for your computer system. You will not be personally identified from this information."
20,https://www.eznetsoft.com/index.php/about-us/privacy-policy,20.0,What We Do With the Information We Gather?
21,https://www.eznetsoft.com/index.php/about-us/privacy-policy,21.0,The personally identifiable information gathered from the forms you fill out on our Web site is used in one of four ways:
22,https://www.eznetsoft.com/index.php/about-us/privacy-policy,22.0,"to provide you with information or to ask you to participate in surveys about products, services, news, and events,"
23,https://www.eznetsoft.com/index.php/about-us/privacy-policy,23.0,to allow you to purchase and download products;
24,https://www.eznetsoft.com/index.php/about-us/privacy-policy,24.0,to aggregate broad demographic information in order to understand general user trends; and to ensure our compliance with export control and other applicable laws and regulations.
25,https://www.eznetsoft.com/index.php/about-us/privacy-policy,25.0,"In addition, the Samuel J or Eznetsoft Web Sites contain links to other web sites. However, Samuel J or Eznetsoft is not responsible for the privacy practices or the content of such web sites."
26,https://www.eznetsoft.com/index.php/about-us/privacy-policy,26.0,What We Do with Information Gathered When You Acquire Third Party Products
27,https://www.eznetsoft.com/index.php/about-us/privacy-policy,27.0,"Samuel J or Eznetsoft will never sell, rent or disclose to third parties our users’ personally identifiable information collected from the distribution of our products or gathered on a Samuel J or Eznetsoft Web Site. If you purchase a product or service developed or owned by a third party, Samuel J or Eznetsoft may provide to the product owner or licensor the same information you provide to us."
28,https://www.eznetsoft.com/index.php/about-us/privacy-policy,28.0,"How do we use Information?Subject to your choices, we may use certain information"
29,https://www.eznetsoft.com/index.php/about-us/privacy-policy,29.0, 
30,https://www.eznetsoft.com/index.php/about-us/privacy-policy,30.0,Children
31,https://www.eznetsoft.com/index.php/about-us/privacy-policy,31.0,We do not knowingly collect personal data from children under 13 years or under the applicable age limit (the “Age Limit”). 
32,https://www.eznetsoft.com/index.php/about-us/privacy-policy,32.0,"Many of our Apps and WebSite services are not directed at children under 13. We do however develop some apps that may be used by children under 13 when such is the case, we clearly specify this fact.  But in all cases, we do not collect personally identifiable data from children under 13."
33,https://www.eznetsoft.com/index.php/about-us/privacy-policy,33.0,"Does your app collect any personal and sensitive information?Unity, one of the game engines I use (Roby the Adventurer, for instance), implements an interface on Android to request a device's Android Device ID and the Advertising ID. I don't use these interfaces in my games whatsoever, and have confirmed through tests that the data that could be requested from these interfaces never leaves your device."
34,https://www.eznetsoft.com/index.php/about-us/privacy-policy,34.0,Special Third-Party Relationships
35,https://www.eznetsoft.com/index.php/about-us/privacy-policy,35.0,"On occasion, Samuel J or Eznetsoft will offer our product users and web site visitors the opportunity to participate in third-party or co-branded promotions, sweepstakes or special programs."
36,https://www.eznetsoft.com/index.php/about-us/privacy-policy,36.0,"The use of any information provided by a user in entering such a third party promotion will be specified prior to the user providing such information. We will also specify the manner in which such information is to be used. If your personal information is to be shared with a third party, it will only be done so with your advance informed consent."
37,https://www.eznetsoft.com/index.php/about-us/privacy-policy,37.0,These relationships will be clearly identified by Samuel J or Eznetsoft
38,https://www.eznetsoft.com/index.php/about-us/privacy-policy,38.0,The privacy policy or policies governing such third-party promotions and/or co-branded programs will be specified.
39,https://www.eznetsoft.com/index.php/about-us/privacy-policy,39.0,Communications to our Consumers
40,https://www.eznetsoft.com/index.php/about-us/privacy-policy,40.0,"In addition to product update, promotional and informational e-mails that Samuel J or Eznetsoft sends to its users from time to time, we may, on occasion, invite you to participate in a focus group, phone survey or send you postal mail."
41,https://www.eznetsoft.com/index.php/about-us/privacy-policy,41.0,You may always opt-out of receiving such mail by clicking on the link provided at the bottom of our e-mail to you.
42,https://www.eznetsoft.com/index.php/about-us/privacy-policy,42.0,"Once you supply us with personal information, such as an e-mail address, Samuel J or Eznetsoft does not change the manner of usage of such information from its original purpose, unless we first obtain your informed consent."
43,https://www.eznetsoft.com/index.php/about-us/privacy-policy,43.0,Security of Personal and Payment Information
44,https://www.eznetsoft.com/index.php/about-us/privacy-policy,44.0,"Samuel J or Eznetsoft maintains controls to provide security over certain financial information you provide us, including credit card details, during the purchase process. This is evidenced through:"
45,https://www.eznetsoft.com/index.php/about-us/privacy-policy,45.0,The use of secure connections using SSL to safeguard information when transmitted from the customer’s web browser to Samuel J or Eznetsoft.
46,https://www.eznetsoft.com/index.php/about-us/privacy-policy,46.0,The logical authentication security within the databases that store customer’s credit card numbers.
47,https://www.eznetsoft.com/index.php/about-us/privacy-policy,47.0,Use of encryption of credit card numbers
48,https://www.eznetsoft.com/index.php/about-us/privacy-policy,48.0,Google Analytics and Advertising
49,https://www.eznetsoft.com/index.php/about-us/privacy-policy,49.0,"Samuel J or Eznetsoft may use all features of Google Analytics for Display Advertisers in some of our Apps or Website. This includes obtaining specific visitor cookie data, such as the source, medium, and keyword used to visit our Web Sites. Google Analytics does not store any visitor-specific data and we will not use visitor specific data in any way related to Google Analytics, Google AdWords, and Remarketing."
50,https://www.eznetsoft.com/index.php/about-us/privacy-policy,50.0,Samuel J or Eznetsoft uses remarketing with Google AdWords and analytics to display content-specific advertisements to visitors that have previously visited our site when those visitors go to other websites that have the Google Display Network implemented.
51,https://www.eznetsoft.com/index.php/about-us/privacy-policy,51.0,"Samuel J or Eznetsoft and other third-party vendors, including Google, use first-party cookies (such as the Google Analytics cookie) and third-party cookies (such as the DoubleClick cookie) together to inform, optimize, and serve ads based on visitors’ past visits to our Web Sites."
52,https://www.eznetsoft.com/index.php/about-us/privacy-policy,52.0,"When creating marketing lists, we cannot and do not use any sensitive information about users, including but not limited to health or medical history or information, financial status or other detailed information pertaining to a person’s finances, racial or ethnic origins, religious beliefs or other beliefs of a similar nature, the commission or alleged commission of any crime, political opinions or beliefs, trade union membership, or sexual behavior or orientation."
53,https://www.eznetsoft.com/index.php/about-us/privacy-policy,53.0, 
54,https://www.eznetsoft.com/index.php/about-us/privacy-policy,54.0,Changes to our Privacy Policies
55,https://www.eznetsoft.com/index.php/about-us/privacy-policy,55.0,"We regularly revise our Web Site Privacy policy to keep it up to date with Samuel J or Eznetsoft products, services and web pages."
56,https://www.eznetsoft.com/index.php/about-us/privacy-policy,56.0,What Sites This Covers
57,https://www.eznetsoft.com/index.php/about-us/privacy-policy,57.0,Samuel J or Eznetsoft owns and maintains a variety of Web Sites. Each of these sites may have their own mailing lists or other methods of contacting customers. All of the sites follow this privacy statement for gathering information or sharing personally identifiable information with third parties.
58,https://www.eznetsoft.com/index.php/about-us/privacy-policy,58.0,"Samuel J or Eznetsoft will use reasonable efforts to comply with this privacy statement and will take prompt corrective action when it learns of any failure to comply with its privacy statement. Because of the complex and constantly changing nature of our technology and business, Samuel J or Eznetsoft does not guarantee error-free performance under this privacy statement. Samuel J or Eznetsoft shall not be liable for any incidental, consequential or punitive damages relating to this privacy statement."
59,https://www.eznetsoft.com/index.php/about-us/privacy-policy,59.0,Contacting Us about Privacy
60,https://www.eznetsoft.com/index.php/about-us/privacy-policy,60.0,"If you have any questions about this privacy statement, the practices of our software or Web Sites, you may contact: Support @ eznetsoft.com"
61,https://www.eznetsoft.com/index.php/about-us/privacy-policy,61.0,We Respect your privacy!
62,https://www.eznetsoft.com/index.php/about-us/privacy-policy,62.0, 
63,https://www.eznetsoft.com/index.php/about-us/privacy-policy,63.0,We are so Happy you visited our site today. Please do not forget to bookmark the site and share the link with others. Information Updates about each of our products are done often. So please visit us often.
64,https://sites.google.com/view/audio-stories-books-and-songs,0.0,"""BARANKI APPS"""
65,https://sites.google.com/view/audio-stories-books-and-songs,1.0,Site Usage and User Tracking
66,https://sites.google.com/view/audio-stories-books-and-songs,2.0,"""BARANKI APPS"" tracks user traffic patterns. We do not collect specific data but only track information to determine which areas of our site users like and would consider visiting again. We do not track what an individual user reads or views – just how well each page performs overall. This helps us to provide quality software programming services and helps ensure customer satisfaction."
67,https://sites.google.com/view/audio-stories-books-and-songs,3.0,Personal Information Sharing
68,https://sites.google.com/view/audio-stories-books-and-songs,4.0,"""BARANKI APPS"" does not share or distribute any information or documents about individual users with any third party, except to comply with applicable laws or valid legal processes or to protect the personal safety of our users or the public."
69,https://sites.google.com/view/audio-stories-books-and-songs,5.0,Security
70,https://sites.google.com/view/audio-stories-books-and-songs,6.0,"Our site has advanced industry-standard security measures to prevent data loss, misuse, or alteration.  ""AUDIO STORIES BOOKS & SONGS"" personnel cannot access your personal information. "
71,https://sites.google.com/view/audio-stories-books-and-songs,7.0,Changes
72,https://sites.google.com/view/audio-stories-books-and-songs,8.0,"""BARANKI APPS"" reserves the right to change, alter, or update this Privacy Statement at any time. As a result, we encourage you to review this privacy statement periodically to track changes."
73,https://sites.google.com/view/audio-stories-books-and-songs,9.0,Contact Information
74,https://sites.google.com/view/audio-stories-books-and-songs,10.0,"""BARANKI APPS"" welcomes your comments and questions on this statement. Please do not hesitate to contact us via e-mail at barankiapps2021[at] gmail.com."
75,https://sites.google.com/view/audio-stories-books-and-songs,11.0,We Don’t Collect Information of Children
76,https://sites.google.com/view/audio-stories-books-and-songs,12.0,"Our website and mobile applications comply with the Children’s Online Privacy Protection Act. We don’t knowingly collect personal information from children under the age of 13, and if in the event that a user identifies himself or herself as a child under the age of 13 through a support request, we will not collect, store or use, and will delete in a secure manner, any personal information of such user."
77,http://videogyan-6b06.kxcdn.com/policy/privacy.html,0.0,"Videogyan Studios (""Videogyan"", ""Videogyan Studios"",""Videgyan 3d Rhymes"",”we” or ""us"") is committed to protecting your privacy. We have created this Privacy Policy (the ""Privacy Policy"") to show our commitment to fair information acts and to the protection of your privacy while you use any of Videogyan APPs and any services available through or in connection with the App (Exmple, In App purchases, ""Subscription Services""). Your use of the App and of the Subscription Services is covered by this Privacy Policy and by the Terms of Use."
78,http://videogyan-6b06.kxcdn.com/policy/privacy.html,1.0,"This Privacy Contract is applicable only to the App and to the Subscription Services, and it does  not apply to any other applications or subscription services that you may access through the App, including but not limited to applications and subscription services accessed via advertisements or connections to third-party content, each of which may utilize data collection, storage, and /or  practices and policies that differ considerably from this Privacy Contract. If you use our App or Subscription Services without registering, the only information that we shall collect shall be Non-Personal Information through the use of cookies or web beacons (See Section 2). If you choose to subscribe to our Subscription Service, we require you to submit certain information that will identify you, and which may include your first and last name, email address, cellular phone number, and/or account information for effecting charges (henceforth known collectively as ""Personal Information""). You shall be responsible for assuring the accuracy of the Personal Information that you present to Videogyan. Incorrect information will affect your use of the App and of the Subscription Services, as well as our ability to contact you using the contact methods described in this Privacy Contract."
79,http://videogyan-6b06.kxcdn.com/policy/privacy.html,2.0,"Even if you do not subscribe to the Videogyan Subscription Service, we shall collect information in addition to your Personal Information (""Non-Personal Information"") about your use of our App and Subscription Service."
80,http://videogyan-6b06.kxcdn.com/policy/privacy.html,3.0,"We utilize cookies to personalize your experience with the App and the Subscription Services, aswell as to store your login information so that you do not need to re-enter it each time you visit the App or access the Subscription Services. Cookies are small computer files that are transferred to your hard disc and which contain information such as your user name and the activities that you performed while using the App and Subscription Services. We do not connect the information stored in the cookies to any of your Personal Information. Some of our partners may also use cookies to provide us with anonymous global data and information regarding our users. We do not have access to or control over these cookies, and our Privacy Contract does not cover the use of third-party cookies."
81,http://videogyan-6b06.kxcdn.com/policy/privacy.html,4.0,"We shall automatically track and collect the following categories of information when you visit our App or use our Subscription Service: (1) Internet Protocol (""IP"") addresses; (2) Domain servers; and (3) Types of Computers and / or mobile devices used to access the App or the Subscription Services. We shall not connect Non-Personal Information received as data traffic to your Personal Information."
82,http://videogyan-6b06.kxcdn.com/policy/privacy.html,5.0,"In order for you to use our Subscription Services plan, we shall ask that you provide specific Personal Information. Personal Information includes contact information, such as your first name and last name, your email address, cellular phone number, and, when applicable, account information for effecting charges. We shall use the personal information you provide to respond to your questions and to send you messages about the App, as well as for service maintenance and updates. You may opt out of providing any personal information. In this case, you may still access and use parts of the App and the Subscription Services."
83,http://videogyan-6b06.kxcdn.com/policy/privacy.html,6.0,"We may use your Personal Information to send you information about the App or the Subscription Services, and to contact you when necessary, including an email to verify your subscription. We may use your data traffic to personalize and adapt your experience with the App and the Subscription Services, and in our communications with you in order to exhibit content that we believe you may be interested in and which may be consistent with your preferences."
84,http://videogyan-6b06.kxcdn.com/policy/privacy.html,7.0,We may share your personal information and data traffic with our partners who assist us through the development of essential services involved in the operations of the App and Subscription Services. Our partners shall be obligated to maintain the same security and confidentiality standards that we promise to you in this Privacy Contract. They shall use your personal information only to meet specific business obligations and to provide services involved in the App.
85,http://videogyan-6b06.kxcdn.com/policy/privacy.html,8.0,"In addition, we may transfer your Personal Information and Non-Personal Information to other companies as a result of a sale, merger, or acquisition of or by Videogyan. In this case, we shall make all efforts possible to notify you before any Personal Information or Non-Personal Information is transferred or becomes subject to a different privacy contract. Videogyan does not share, sell, rent, or negotiate with your Personal Information with third parties for promotional ends."
86,http://videogyan-6b06.kxcdn.com/policy/privacy.html,9.0,"We reserve the right to disclose your Personal Information if it is demanded by law and when we believe that disclosure is necessary to protect our rights and / or to satisfy a legal procedure, judicial order or a lawsuit."
87,http://videogyan-6b06.kxcdn.com/policy/privacy.html,10.0,"The App may present advertisements and shall contain links to other applications with which Videogyan TechStudios is not affiliated (""Third-Party Apps""). Videogyan will not share your personal information with Third-Party Apps. Videogyan is not responsible for the privacy practices of Third-Party Apps. Some Third-Party Apps may possess styles and appearances that are similar to our App. We ask you to be aware that you may be in a different application, and that this Privacy Contract covers only our App. If you decide to utilize Third-Party Apps, we suggest that you read their privacy policies carefully."
88,http://videogyan-6b06.kxcdn.com/policy/privacy.html,11.0,"The Personal Information that we collect about you is stored on a secure, password-protected server. Only authorized personnel have access to your Personal Information."
89,http://videogyan-6b06.kxcdn.com/policy/privacy.html,12.0,"We reserve the right to alter this Privacy Contract at any moment and at our sole discretion. In the event of any changes to this Privacy Contract, we shall publish an altered agreement in the App that will inform you of these changes. This message will notify you of the nature of these changes and provide a link to the new Privacy Contract for your review. The use of the information we collect is always subject to the Privacy Contract that is in effect at the moment when this information is collected."
90,http://videogyan-6b06.kxcdn.com/policy/privacy.html,13.0,"If you have any questions, please contact us at apps@videogyan.com."
91,https://www.eznetsoft.com/index.php/about-us/privacy-policy,0.0,"Privacy Policy  & Term of Use (Last updated Sept 24th, 2021)Overview"
92,https://www.eznetsoft.com/index.php/about-us/privacy-policy,1.0,Samuel J or Eznetsoft is committed to protecting your personal information and respecting your privacy. Please read our entire policy.
93,https://www.eznetsoft.com/index.php/about-us/privacy-policy,2.0,"In general, you can visit us on the Web without telling us who you are or revealing any information about yourself."
94,https://www.eznetsoft.com/index.php/about-us/privacy-policy,3.0,"Samuel J or Eznetsoft will not sell, rent or disclose your personally identifiable information to outside parties without your consent unless compelled by law or court order to do so. With your permission, Samuel J or Eznetsoft may send you e-mail regarding our new products, upgrades. In any case, we do not disclose your personally identifiable information to such third parties. Please see below regarding how our privacy policy applies when you purchase third party products on our Web Site."
95,https://www.eznetsoft.com/index.php/about-us/privacy-policy,4.0,"Information that we gather and track, in accordance with the GDPR.Our Mobile Apps will NEVER Collect and share your personal information with Third-parties without your Explicit consent."
96,https://www.eznetsoft.com/index.php/about-us/privacy-policy,5.0,There are times when we may need to collect information from you through our Web Site. This generally involves filling out forms so you can download or order a Samuel J or Eznetsoft or third party product from our Web Site. When you download the products we require you to fill out a form with your name and email address.
97,https://www.eznetsoft.com/index.php/about-us/privacy-policy,6.0,"Samuel J or Eznetsoft uses various methods to collect certain other kinds of information, including:"
98,https://www.eznetsoft.com/index.php/about-us/privacy-policy,7.0,"Device Information, Cookies, Referers, IP addresses, System information"
99,https://www.eznetsoft.com/index.php/about-us/privacy-policy,8.0,"None of these methods can be personally identified with you with the exception of cookies, which can optionally store information that you may enter in forms on our Web Site, as described below."
100,https://www.eznetsoft.com/index.php/about-us/privacy-policy,9.0,Samuel J or Eznetsoft may use Globally Unique Identifiers (GUIDs) to notify us of the installation of one of our products.
101,https://www.eznetsoft.com/index.php/about-us/privacy-policy,10.0,"A Device, may be your Windows Tablet or Android Phone or IOS Device; information we may gather would be device type, screen resolution, RAM size."
102,https://www.eznetsoft.com/index.php/about-us/privacy-policy,11.0,"A ""cookie"" is an element of data that a Web Site can send to your browser, which may then store it on your system. It can be used to provide you with tailored user experience. Some Samuel J or Eznetsoft pages use cookies. Cookies are used to better personalize the content, banners and promotions that you and other users will see. We may use the information to research and understand how our users’ habits in the aggregate are similar or different so that we can enhance your experience on Samuel J or Eznetsoft sites and with our products. With your consent, cookies can optionally store information from forms that you fill out on our site so that next time you visit, you do not have to re-enter this information. For example, this would allow you to enter your zip code so that next time you visit, you can automatically see local content from your area. You can set your browser to notify you when you receive a cookie, giving you the chance to decide whether or not to accept it. Samuel J or Eznetsoft does not require that you accept cookies."
103,https://www.eznetsoft.com/index.php/about-us/privacy-policy,12.0,"A ""referrer"" is the information passed along by a web browser that references the Web URL you linked from, and is automatically collected by our Web server. This information is collected and used by Samuel J or Eznetsoft to understand the web sites referring traffic to our download pages and to present appropriate content to our potential customers. Referrer information is tabulated by Samuel J or Eznetsoft on an aggregated basis to identify general trends and traffic patterns."
104,https://www.eznetsoft.com/index.php/about-us/privacy-policy,13.0,"We are committed to protecting our users’ personal data. We implement appropriate technical and organizational measures to help protect the security of your personal data; however, please note that no system is ever completely secure. We have implemented various policies including pseudonymization, encryption, access, and retention policies to guard against unauthorized access and unnecessary retention of personal data in our systems."
105,https://www.eznetsoft.com/index.php/about-us/privacy-policy,14.0,"Your password protects your user account, so we encourage you to use a strong password that is unique to your account, never share your password with anyone, limit access to your computer and browser, and log out after having used our service."
106,https://www.eznetsoft.com/index.php/about-us/privacy-policy,15.0,How can I Manage or Delete my information?
107,https://www.eznetsoft.com/index.php/about-us/privacy-policy,16.0,"Our Apps store information locally on your device, and some information we store based on your login on our servers are deleted once you Delete your account. To delete information stored by our Apps. You can Request to Delete your information by sending a request to Support @ Eznetsoft.com. Please specify sufficient information for us to identify you and we will delete any related information from our System. We will NOT RETAIN ANY Information from you when send this request.  If you use our Apps, After you have requested deletion of your data, You also MUST Delete the App from your device to make sure all data stored by our App on your device are also deleted.  If you visited our website, there may be cookies stored on your web browser, you can use your browser Settings to delete those cookies. We are not responsible to delete cookies stored on your own browser. You can use the Privacy settings on your browser to prevent cookies from being stored when you visit our website."
108,https://www.eznetsoft.com/index.php/about-us/privacy-policy,17.0,Kind Information that may be collected:
109,https://www.eznetsoft.com/index.php/about-us/privacy-policy,18.0,"When you visit our Website, and the information below is true for most websites. We may collect the following information:IP addresses are used by your computer every time you are connected to the Internet. Your IP address is a number that is used by computers on the network to identify your computer so that data (such as the Web pages you request) can be sent to you. They are automatically gathered by our Web server. Samuel J or Eznetsoft will not use your IP address to attempt to identify your personal information."
110,https://www.eznetsoft.com/index.php/about-us/privacy-policy,19.0,"System information we gather includes time, type of Web browser being used, the operating system/platform, and CPU speed. This information is sent automatically by your Web browser when you are connected to a Web Site and is used by Samuel J or Eznetsoft only for broad demographic statistics. This information is used by Samuel J or Eznetsoft in identifying broad demographic trends and may be used to provide information appropriate for your computer system. You will not be personally identified from this information."
111,https://www.eznetsoft.com/index.php/about-us/privacy-policy,20.0,What We Do With the Information We Gather?
112,https://www.eznetsoft.com/index.php/about-us/privacy-policy,21.0,The personally identifiable information gathered from the forms you fill out on our Web site is used in one of four ways:
113,https://www.eznetsoft.com/index.php/about-us/privacy-policy,22.0,"to provide you with information or to ask you to participate in surveys about products, services, news, and events,"
114,https://www.eznetsoft.com/index.php/about-us/privacy-policy,23.0,to allow you to purchase and download products;
115,https://www.eznetsoft.com/index.php/about-us/privacy-policy,24.0,to aggregate broad demographic information in order to understand general user trends; and to ensure our compliance with export control and other applicable laws and regulations.
116,https://www.eznetsoft.com/index.php/about-us/privacy-policy,25.0,"In addition, the Samuel J or Eznetsoft Web Sites contain links to other web sites. However, Samuel J or Eznetsoft is not responsible for the privacy practices or the content of such web sites."
117,https://www.eznetsoft.com/index.php/about-us/privacy-policy,26.0,What We Do with Information Gathered When You Acquire Third Party Products
118,https://www.eznetsoft.com/index.php/about-us/privacy-policy,27.0,"Samuel J or Eznetsoft will never sell, rent or disclose to third parties our users’ personally identifiable information collected from the distribution of our products or gathered on a Samuel J or Eznetsoft Web Site. If you purchase a product or service developed or owned by a third party, Samuel J or Eznetsoft may provide to the product owner or licensor the same information you provide to us."
119,https://www.eznetsoft.com/index.php/about-us/privacy-policy,28.0,"How do we use Information?Subject to your choices, we may use certain information"
120,https://www.eznetsoft.com/index.php/about-us/privacy-policy,29.0, 
121,https://www.eznetsoft.com/index.php/about-us/privacy-policy,30.0,Children
122,https://www.eznetsoft.com/index.php/about-us/privacy-policy,31.0,We do not knowingly collect personal data from children under 13 years or under the applicable age limit (the “Age Limit”). 
123,https://www.eznetsoft.com/index.php/about-us/privacy-policy,32.0,"Many of our Apps and WebSite services are not directed at children under 13. We do however develop some apps that may be used by children under 13 when such is the case, we clearly specify this fact.  But in all cases, we do not collect personally identifiable data from children under 13."
124,https://www.eznetsoft.com/index.php/about-us/privacy-policy,33.0,"Does your app collect any personal and sensitive information?Unity, one of the game engines I use (Roby the Adventurer, for instance), implements an interface on Android to request a device's Android Device ID and the Advertising ID. I don't use these interfaces in my games whatsoever, and have confirmed through tests that the data that could be requested from these interfaces never leaves your device."
125,https://www.eznetsoft.com/index.php/about-us/privacy-policy,34.0,Special Third-Party Relationships
126,https://www.eznetsoft.com/index.php/about-us/privacy-policy,35.0,"On occasion, Samuel J or Eznetsoft will offer our product users and web site visitors the opportunity to participate in third-party or co-branded promotions, sweepstakes or special programs."
127,https://www.eznetsoft.com/index.php/about-us/privacy-policy,36.0,"The use of any information provided by a user in entering such a third party promotion will be specified prior to the user providing such information. We will also specify the manner in which such information is to be used. If your personal information is to be shared with a third party, it will only be done so with your advance informed consent."
128,https://www.eznetsoft.com/index.php/about-us/privacy-policy,37.0,These relationships will be clearly identified by Samuel J or Eznetsoft
129,https://www.eznetsoft.com/index.php/about-us/privacy-policy,38.0,The privacy policy or policies governing such third-party promotions and/or co-branded programs will be specified.
130,https://www.eznetsoft.com/index.php/about-us/privacy-policy,39.0,Communications to our Consumers
131,https://www.eznetsoft.com/index.php/about-us/privacy-policy,40.0,"In addition to product update, promotional and informational e-mails that Samuel J or Eznetsoft sends to its users from time to time, we may, on occasion, invite you to participate in a focus group, phone survey or send you postal mail."
132,https://www.eznetsoft.com/index.php/about-us/privacy-policy,41.0,You may always opt-out of receiving such mail by clicking on the link provided at the bottom of our e-mail to you.
133,https://www.eznetsoft.com/index.php/about-us/privacy-policy,42.0,"Once you supply us with personal information, such as an e-mail address, Samuel J or Eznetsoft does not change the manner of usage of such information from its original purpose, unless we first obtain your informed consent."
134,https://www.eznetsoft.com/index.php/about-us/privacy-policy,43.0,Security of Personal and Payment Information
135,https://www.eznetsoft.com/index.php/about-us/privacy-policy,44.0,"Samuel J or Eznetsoft maintains controls to provide security over certain financial information you provide us, including credit card details, during the purchase process. This is evidenced through:"
